,Идентификатор Scopus,Автор,Публикаций Scopus за 2020,Высокорейтинговых публикаций за 2020,Цитирований за 2020,Публикаций Scopus за 2021,Высокорейтинговых публикаций за 2021,Цитирований за 2021,Публикаций Scopus за 2022,Высокорейтинговых публикаций за 2022,Цитирований за 2022,Публикаций Scopus за 2020-2022,Высокорейтинговых публикаций за 2020-2022,Цитирований за 2020 - 2022,Цветков П.С. был процитирован,Бабырь Н.В. был процитирован
528,57206469227,Kukharova T.V.,1,0,0,3,0,2,2,1,16,6,1,18,0,0
529,57206480265,Nguyen K.L.,4,0,0,1,1,1,0,0,2,5,1,3,0,0
530,57206657220,Zaur A.,0,0,0,0,0,0,1,1,2,1,1,2,0,0
531,57206661644,Ovsyannikov M.P.,2,0,0,0,0,3,0,0,2,2,0,5,0,0
532,57206664377,Ligotsky D.,4,1,0,2,0,2,0,0,6,6,1,8,0,0
533,57206669213,Dzyurich D.,1,0,0,0,0,0,1,1,2,2,1,2,0,0
534,57206722475,Tumanov M.V.,0,0,0,2,0,1,2,1,6,4,1,7,0,0
535,57206723347,Alekseev A.,0,0,0,1,1,3,2,2,12,3,3,15,0,0
536,57207040142,Ilyashenko I.S.,1,0,0,1,0,4,1,1,2,3,1,6,1,1
537,57207450602,Eldeeb A.B.,3,2,1,2,1,8,1,0,6,6,3,15,0,0
538,57207457341,Bormotov I.S.,1,0,0,3,1,0,0,0,2,4,1,2,0,0
539,57207740243,Lebedev A.B.,1,0,0,0,0,0,3,2,6,4,2,6,0,0
540,57207815549,Kostenko B.V.,0,0,0,1,1,0,0,0,1,1,1,1,0,0
541,57207888478,Islamov S.,2,0,4,5,2,16,1,1,80,8,3,100,2,0
542,57207889346,Bondarenko A.V.,1,0,0,1,0,1,1,1,18,3,1,19,0,0
543,57207980404,Vasilkov O.S.,2,1,0,1,0,9,0,0,12,3,1,21,0,0
544,57207984115,Babyr K.V.,1,0,0,3,0,3,4,0,2,8,0,5,0,11
545,57207987284,Pudkova T.V.,0,0,0,1,0,4,0,0,2,1,0,6,0,0
546,57207988191,Zamyatina E.N.,2,0,1,0,0,2,0,0,0,2,0,3,0,0
547,57207993401,Smirnov A.I.,0,0,0,2,0,0,0,0,0,2,0,0,0,0
548,57207997080,Belova M.,3,1,0,1,1,5,2,1,8,6,3,13,0,0
549,57208009670,Alekseev V.,0,0,0,2,0,0,0,0,0,2,0,0,0,0
550,57208010072,Orlov F.A.,0,0,0,0,0,0,1,1,2,1,1,2,0,0
551,57208084004,Ilalova R.K.,1,1,0,1,0,1,1,1,0,3,2,1,0,0
552,57208119830,Solovev S.V.,0,0,0,0,0,0,1,1,1,1,1,1,0,0
553,57208133606,Tokareva O.V.,1,0,1,0,0,2,0,0,0,1,0,3,0,0
